tu_index	raw_this_tu	raw_cumulative	z19_this_tu	z19_cumulative	cold0_this_tu	cold0_cumulative	test_this_tu	test_cumulative	saving_vs_z19_cumulative	saving_vs_cold0_cumulative	exact	state_bytes
0	839260	839260	0	0	141269	141269	154259	154259	-154259	-12990	1	837442
1	5434195	6273455	0	0	686659	827928	707731	861990	-861990	-34062	1	5434741
2	5434195	11707650	0	0	51	827979	51	862041	-862041	-34062	1	5434741
3	4094994	15802644	0	0	26003	853982	28842	890883	-890883	-36901	1	5675517
4	4089591	19892235	0	0	295	854277	313	891196	-891196	-36919	1	5676292
5	3444471	23336706	0	0	25505	879782	25859	917055	-917055	-37273	1	5872690
6	3790236	27126942	0	0	26635	906417	26893	943948	-943948	-37531	1	6052623
7	4336012	31462954	0	0	81025	987442	84569	1028517	-1028517	-41075	1	6547673
8	3546232	35009186	0	0	8593	996035	8689	1037206	-1037206	-41171	1	6597950
9	3274307	38283493	0	0	2584	998619	2725	1039931	-1039931	-41312	1	6618790
10	3879853	42163346	0	0	753	999372	833	1040764	-1040764	-41392	1	6621981
11	4098549	46261895	0	0	24390	1023762	20427	1061191	-1061191	-37429	1	6813551
12	3449557	49711452	0	0	6314	1030076	6521	1067712	-1067712	-37636	1	6855736
13	3879853	53591305	0	0	53	1030129	53	1067765	-1067765	-37636	1	6855736
14	4098549	57689854	0	0	53	1030182	53	1067818	-1067818	-37636	1	6855736
15	3449557	61139411	0	0	53	1030235	53	1067871	-1067871	-37636	1	6855736
16	3400600	64540011	0	0	4120	1034355	4240	1072111	-1072111	-37756	1	6882999
17	3320861	67860872	0	0	1542	1035897	1745	1073856	-1073856	-37959	1	6891250
18	3210935	71071807	0	0	1700	1037597	1859	1075715	-1075715	-38118	1	6900522
19	3863336	74935143	0	0	29260	1066857	27224	1102939	-1102939	-36082	1	7155252
20	4164315	79099458	0	0	52288	1119145	52235	1155174	-1155174	-36029	1	7431663
21	3207457	82306915	0	0	1437	1120582	1641	1156815	-1156815	-36233	1	7442714
22	4213723	86520638	0	0	13978	1134560	13953	1170768	-1170768	-36208	1	7520457
23	4090556	90611194	0	0	38412	1172972	38789	1209557	-1209557	-36585	1	7768283
24	3445172	94056366	0	0	7607	1180579	7819	1217376	-1217376	-36797	1	7816159
25	3612425	97668791	0	0	16485	1197064	16209	1233585	-1233585	-36521	1	7955380
26	3327247	100996038	0	0	1820	1198884	1899	1235484	-1235484	-36600	1	7970011
27	3674163	104670201	0	0	2390	1201274	2527	1238011	-1238011	-36737	1	7984297
28	3616621	108286822	0	0	32186	1233460	32938	1270949	-1270949	-37489	1	8176544
29	3479243	111766065	0	0	3247	1236707	3451	1274400	-1274400	-37693	1	8196823
30	3395484	115161549	0	0	2499	1239206	2734	1277134	-1277134	-37928	1	8211892
31	1859816	117021365	0	0	9884	1249090	9900	1287034	-1287034	-37944	1	8257799
32	1698503	118719868	0	0	5182	1254272	5740	1292774	-1292774	-38502	1	8288495
33	1521191	120241059	0	0	1696	1255968	1971	1294745	-1294745	-38777	1	8295791
34	3697406	123938465	0	0	450592	1706560	450521	1745266	-1745266	-38706	1	11981434
35	2046643	125985108	0	0	3200	1709760	3485	1748751	-1748751	-38991	1	11992123
36	2210858	128195966	0	0	14403	1724163	14666	1763417	-1763417	-39254	1	12060148
37	2071158	130267124	0	0	3803	1727966	3969	1767386	-1767386	-39420	1	12078963
38	2058966	132326090	0	0	1129	1729095	1231	1768617	-1768617	-39522	1	12085793
39	1832086	134158176	0	0	45234	1774329	45293	1813910	-1813910	-39581	1	12363237
40	2042958	136201134	0	0	1095	1775424	1257	1815167	-1815167	-39743	1	12366460
41	2062827	138263961	0	0	1827	1777251	1902	1817069	-1817069	-39818	1	12377148
42	2062100	140326061	0	0	2162	1779413	2307	1819376	-1819376	-39963	1	12387112
43	2070128	142396189	0	0	3283	1782696	3928	1823304	-1823304	-40608	1	12403752
44	2065016	144461205	0	0	2475	1785171	2721	1826025	-1826025	-40854	1	12412599
45	2272760	146733965	0	0	3224	1788395	3499	1829524	-1829524	-41129	1	12454510
46	2160200	148894165	0	0	11598	1799993	13307	1842831	-1842831	-42838	1	12516604
47	1578255	150472420	0	0	1602	1801595	1756	1844587	-1844587	-42992	1	12522479
48	3516299	153988719	0	0	3164	1804759	3166	1847753	-1847753	-42994	1	12537788
49	3622400	157611119	0	0	2673	1807432	2702	1850455	-1850455	-43023	1	12551682
50	3369432	160980551	0	0	2246	1809678	2364	1852819	-1852819	-43141	1	12560642
51	3658594	164639145	0	0	4932	1814610	4909	1857728	-1857728	-43118	1	12589237
52	3508992	168148137	0	0	1889	1816499	1937	1859665	-1859665	-43166	1	12601286
53	3519888	171668025	0	0	1939	1818438	2048	1861713	-1861713	-43275	1	12616236
54	3948233	175616258	0	0	6437	1824875	6603	1868316	-1868316	-43441	1	12658606
55	3503553	179119811	0	0	1562	1826437	1435	1869751	-1869751	-43314	1	12665466
56	3768730	182888541	0	0	2228	1828665	2370	1872121	-1872121	-43456	1	12676543
57	3814083	186702624	0	0	5627	1834292	5702	1877823	-1877823	-43531	1	12706379
58	3735939	190438563	0	0	3155	1837447	3231	1881054	-1881054	-43607	1	12732260
59	3685428	194123991	0	0	3501	1840948	3615	1884669	-1884669	-43721	1	12764046
60	3685850	197809841	0	0	5675	1846623	5689	1890358	-1890358	-43735	1	12818696
61	1859816	199669657	0	0	53	1846676	53	1890411	-1890411	-43735	1	12818696
62	1698503	201368160	0	0	53	1846729	53	1890464	-1890464	-43735	1	12818696
63	1521191	202889351	0	0	53	1846782	53	1890517	-1890517	-43735	1	12818696
64	3697406	206586757	0	0	52	1846834	52	1890569	-1890569	-43735	1	12818696
65	2046643	208633400	0	0	53	1846887	53	1890622	-1890622	-43735	1	12818696
66	2210858	210844258	0	0	53	1846940	53	1890675	-1890675	-43735	1	12818696
67	2071158	212915416	0	0	53	1846993	53	1890728	-1890728	-43735	1	12818696
68	2058966	214974382	0	0	53	1847046	53	1890781	-1890781	-43735	1	12818696
69	1832086	216806468	0	0	53	1847099	53	1890834	-1890834	-43735	1	12818696
70	2042958	218849426	0	0	53	1847152	53	1890887	-1890887	-43735	1	12818696
71	2062827	220912253	0	0	53	1847205	53	1890940	-1890940	-43735	1	12818696
72	2062100	222974353	0	0	53	1847258	53	1890993	-1890993	-43735	1	12818696
73	2070128	225044481	0	0	53	1847311	53	1891046	-1891046	-43735	1	12818696
74	2065016	227109497	0	0	53	1847364	53	1891099	-1891099	-43735	1	12818696
75	2272760	229382257	0	0	53	1847417	53	1891152	-1891152	-43735	1	12818696
76	2160200	231542457	0	0	53	1847470	53	1891205	-1891205	-43735	1	12818696
77	1578255	233120712	0	0	53	1847523	53	1891258	-1891258	-43735	1	12818696
78	3516299	236637011	0	0	53	1847576	53	1891311	-1891311	-43735	1	12818696
79	3622400	240259411	0	0	53	1847629	53	1891364	-1891364	-43735	1	12818696
80	3369432	243628843	0	0	53	1847682	53	1891417	-1891417	-43735	1	12818696
81	3658594	247287437	0	0	53	1847735	53	1891470	-1891470	-43735	1	12818696
82	3508992	250796429	0	0	53	1847788	53	1891523	-1891523	-43735	1	12818696
83	3519888	254316317	0	0	53	1847841	53	1891576	-1891576	-43735	1	12818696
84	3948233	258264550	0	0	53	1847894	53	1891629	-1891629	-43735	1	12818696
85	3503553	261768103	0	0	53	1847947	53	1891682	-1891682	-43735	1	12818696
86	3768730	265536833	0	0	53	1848000	53	1891735	-1891735	-43735	1	12818696
87	3814083	269350916	0	0	53	1848053	53	1891788	-1891788	-43735	1	12818696
88	3735939	273086855	0	0	53	1848106	53	1891841	-1891841	-43735	1	12818696
89	3685428	276772283	0	0	53	1848159	53	1891894	-1891894	-43735	1	12818696
90	3685850	280458133	0	0	53	1848212	53	1891947	-1891947	-43735	1	12818696
91	3351215	283809348	0	0	34955	1883167	34980	1926927	-1926927	-43760	1	13132654
92	3594506	287403854	0	0	2307	1885474	2390	1929317	-1929317	-43843	1	13142683
93	1884033	289287887	0	0	1000	1886474	1093	1930410	-1930410	-43936	1	13146949
94	4548684	293836571	0	0	4912	1891386	4910	1935320	-1935320	-43934	1	13170132
95	4504735	298341306	0	0	42732	1934118	42222	1977542	-1977542	-43424	1	13426736
96	4032788	302374094	0	0	4005	1938123	3954	1981496	-1981496	-43373	1	13444932
97	4017350	306391444	0	0	2539	1940662	2776	1984272	-1984272	-43610	1	13455802
98	4023046	310414490	0	0	1459	1942121	1643	1985915	-1985915	-43794	1	13463771
99	4083865	314498355	0	0	10345	1952466	10254	1996169	-1996169	-43703	1	13542479
100	4000288	318498643	0	0	1139	1953605	1293	1997462	-1997462	-43857	1	13547280
101	4016704	322515347	0	0	420	1954025	422	1997884	-1997884	-43859	1	13548907
102	4019174	326534521	0	0	609	1954634	650	1998534	-1998534	-43900	1	13553004
103	4018309	330552830	0	0	599	1955233	634	1999168	-1999168	-43935	1	13556236
104	3997945	334550775	0	0	569	1955802	621	1999789	-1999789	-43987	1	13558910
105	3999801	338550576	0	0	941	1956743	1081	2000870	-2000870	-44127	1	13563440
106	4015778	342566354	0	0	3414	1960157	3577	2004447	-2004447	-44290	1	13584304
107	3999143	346565497	0	0	836	1960993	935	2005382	-2005382	-44389	1	13588069
